Gene,GAs1,GAs2,GAs3,GC1,GC2,GC3,UAs1,UAs2,UAs3,UC1,UC2,UC3
Solyc04g009380.3,1486,1768,955,1139,1452,1271,235,150,259,486,754,879
Solyc08g007690.1,0,0,0,0,0,0,40,45,16,9,0,19
Solyc01g107050.3,0,0,0,0,0,0,1,0,0,0,0,0
Solyc01g112370.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g042350.1,0,0,0,4,0,10,0,0,0,0,0,0
Solyc12g006780.2,0,0,0,0,0,0,0,1,0,0,0,0
Solyc09g009860.1,7,1,7,6,4,27,206,133,200,210,16,162
Solyc02g087760.3,3109,4254,3116,2777,3092,4619,4968,3519,4910,5329,2263,3546
Solyc01g080800.3,273,1436,755,319,454,219,43,58,48,668,2470,1272
Solyc07g055573.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g091270.3,1422,1633,816,966,1132,1423,601,403,542,936,796,755
Solyc12g094430.1,2412,3182,2915,3517,3482,4565,4549,2844,3204,1725,1463,2261
Solyc11g069580.2,404,471,385,321,338,429,177,79,166,376,261,315
Solyc03g046280.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g025920.3,9,17,28,11,12,16,0,0,0,25,6,0
Solyc05g056280.2,2800,3362,1814,2565,3235,3193,2213,1458,1797,1812,2032,1963
Solyc09g018170.4,3311,2708,2394,2802,3661,2773,5768,2305,4061,2028,3409,3987
Solyc12g019550.2,798,1320,2096,555,514,1950,23875,13880,10269,4104,1222,5821
Solyc06g050880.3,587,407,336,554,487,757,346,228,509,288,236,333
Solyc06g072690.3,78,66,31,42,35,93,60,36,34,47,26,11
Solyc10g054675.1,0,0,0,0,0,0,0,0,0,0,6,0
Solyc12g077660.3,22,23,18,6,9,18,1,11,0,1,2,0
Solyc08g059650.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g060880.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g014470.1,65,18,6,0,16,29,0,10,6,1,4,4
Solyc12g055850.2,618,692,487,532,692,597,842,517,680,505,393,591
Solyc00g500018.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g007700.1,0,0,0,0,0,8,0,6,0,0,0,0
Solyc03g033295.1,133,240,90,46,67,78,4,18,19,17,69,166
Solyc09g010850.4,5058,6757,5912,5360,4270,3204,493,263,622,1680,2241,2671
Solyc01g049660.2,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g017840.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc06g072570.4,3850,5799,3272,4480,4885,5147,2828,2040,2471,2472,2841,2348
Solyc04g074167.1,62,62,36,40,53,58,66,52,36,44,29,21
Solyc11g012710.2,349,480,344,416,520,706,236,172,288,241,417,360
Solyc03g113940.4,314,1033,647,763,1194,275,1,2,1,28,37,44
Solyc12g056345.1,307,304,227,430,491,370,692,301,319,157,314,222
Solyc07g052810.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g077540.3,501,689,398,375,366,472,266,185,304,312,254,304
Solyc06g072700.3,80,175,178,20,41,184,1609,987,1298,1531,611,865
Solyc07g052680.1,21,5,10,20,40,47,39,48,31,41,1,14
Solyc09g098090.4,428,396,213,326,421,492,116,89,261,304,361,415
Solyc05g056160.3,8377,12906,5955,7949,9753,9713,8995,6052,7258,5939,9779,8494
Solyc11g021260.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g088120.1,8,18,0,0,5,20,0,0,4,1,5,0
Solyc08g044243.1,32,43,28,9,0,18,10,6,18,15,12,22
Solyc12g019430.3,0,0,0,0,0,0,0,0,0,1,0,0
Solyc09g150103.1,1184,1141,652,1225,1285,1613,844,503,764,618,540,654
Solyc07g053030.4,0,59,15,0,0,1,13,2,61,15,39,24
Solyc04g017720.3,4097,6368,3131,1358,1351,3208,8843,4234,2677,867,132,1031
Solyc09g075940.3,90,173,230,30,32,240,992,256,993,516,528,619
Solyc11g012580.2,21,35,26,18,14,56,134,28,117,84,57,36
Solyc02g091150.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g058220.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g022780.2,298,427,239,130,194,279,122,115,125,207,52,116
Solyc02g087520.3,0,16,0,0,0,1,32,14,7,38,0,15
Solyc10g054280.2,261,504,269,234,312,355,680,323,395,466,367,384
Solyc01g080790.3,20,128,61,6,17,9,64,20,4,188,251,218
Solyc12g055730.3,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g150111.1,6211,8558,4321,4503,5597,5156,6941,4002,4271,3432,5583,4085
Solyc08g007820.1,406,839,768,453,193,192,52,37,16,60,15,24
Solyc09g009620.1,0,0,0,0,0,0,10,3,12,1,1,6
Solyc01g057990.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g067045.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g010730.1,1,0,0,0,0,15,0,0,0,18,1,0
Solyc01g088240.4,1885,1662,1039,1334,2246,2343,1322,973,2154,1991,2339,2328
Solyc02g087880.3,75,130,188,64,73,200,2834,1698,2038,2607,303,1040
Solyc12g019790.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g079680.3,1349,2260,1286,1333,1630,1803,2633,1890,2082,1894,1030,1351
Solyc06g006010.3,47,24,23,21,25,65,0,0,0,0,0,0
Solyc09g084490.4,0,20,67,0,10,82,150,182,274,169,22,149
Solyc11g039680.1,4,0,1,0,0,8,0,0,0,0,1,0
Solyc12g094550.2,863,769,470,893,1162,1181,230,172,155,360,311,349
Solyc10g054040.3,21,40,13,22,28,6,48,31,9,71,5,47
Solyc11g012950.2,23,4,1,6,11,28,54,34,13,65,22,4
Solyc11g043200.1,206,545,403,142,165,237,112,176,194,281,176,311
Solyc01g058340.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g068450.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g022910.3,3021,4600,3877,2732,2742,2245,994,518,1000,1311,2524,2075
Solyc06g072940.3,55,22,2,27,59,25,0,0,8,31,6,14
Solyc01g079440.1,1,27,12,1,15,10,1,9,0,9,30,4
Solyc03g005947.1,0,0,0,0,0,0,2,0,1,0,0,0
Solyc05g025670.1,0,0,0,0,0,0,0,0,0,0,0,2
Solyc09g009370.4,2676,3117,2358,2102,2357,3922,760,562,918,1638,1016,1581
Solyc04g026030.3,3940,3464,2252,2642,3080,3647,3873,2038,2326,2258,3245,2656
Solyc11g008950.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g150125.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g069340.2,1748,2352,1420,1582,2008,2197,1412,1071,1598,1942,1590,1977
